Date,Day,Event,Website,Notes
30-Aug-23,Wednesday,,,
31-Aug-23,Thursday ,,,
1-Sep-23,Friday,,,
2-Sep-23,Saturday ,Saundersfoot Triathlon,https://www.saundersfoottriathlon.com/,
3-Sep-23,Sunday,IRONMAN Wales ,https://www.ironman.com/im-wales-register,
3-Sep-23,Sunday,Bala Triathlon ,,
3-Sep-23,Sunday,Outlaw X ,https://www.outlawtriathlon.com/outlaw-x/overview/,
4-Sep-23,Monday,,,
5-Sep-23,Tuesday,,,
6-Sep-23,Wednesday,,,
7-Sep-23,Thursday ,,,
8-Sep-23,Friday,,,
9-Sep-23,Saturday ,,,
10-Sep-23,Sunday,,,
11-Sep-23,Monday,,,
12-Sep-23,Tuesday,,,
13-Sep-23,Wednesday,,,
14-Sep-23,Thursday ,,,
15-Sep-23,Friday,,,
16-Sep-23,Saturday ,,,
17-Sep-23,Sunday,Ironman Weymouth ,https://www.ironman.com/im703-weymouth,
18-Sep-23,Monday,,,
19-Sep-23,Tuesday,,,
20-Sep-23,Wednesday,,,
21-Sep-23,Thursday ,,,
22-Sep-23,Friday,,,
23-Sep-23,Saturday ,,,
24-Sep-23,Sunday,Llanelli half marathon ,https://www.welshathletics.org/en/competition/current/view/llanelli-half-marathon,
25-Sep-23,Monday,,,
26-Sep-23,Tuesday,,,
27-Sep-23,Wednesday,,,
28-Sep-23,Thursday ,,,
29-Sep-23,Friday,,,
30-Sep-23,Saturday ,,,
1-Oct-23,Sunday,Ironman Barcelona ,https://www.ironman.com/im-barcelona-register,
1-Oct-23,Sunday,Landudno Triathlon sprint ,https://alwaysaimhighevents.com/events/llandudno-triathlon-2023,
1-Oct-23,Sunday,Cardiff Half Marathon ,https://www.cardiffhalfmarathon.co.uk/take-part/register/,
2-Oct-23,Monday,,,
3-Oct-23,Tuesday,,,
4-Oct-23,Wednesday,,,
5-Oct-23,Thursday ,,,
6-Oct-23,Friday,,,
7-Oct-23,Saturday ,,,
8-Oct-23,Sunday,,,
9-Oct-23,Monday,,,
10-Oct-23,Tuesday,,,
11-Oct-23,Wednesday,,,
12-Oct-23,Thursday ,,,
13-Oct-23,Friday,,,
14-Oct-23,Saturday ,,,
15-Oct-23,Sunday,,,
16-Oct-23,Monday,,,
17-Oct-23,Tuesday,,,
18-Oct-23,Wednesday,,,
19-Oct-23,Thursday ,,,
20-Oct-23,Friday,,,
21-Oct-23,Saturday ,,,
22-Oct-23,Sunday,,,
23-Oct-23,Monday,,,
24-Oct-23,Tuesday,,,
25-Oct-23,Wednesday,,,
26-Oct-23,Thursday ,,,
27-Oct-23,Friday,,,
28-Oct-23,Saturday ,,,
29-Oct-23,Sunday,,,
30-Oct-23,Monday,,,
31-Oct-23,Tuesday,,,
1-Nov-23,Wednesday,,,
2-Nov-23,Thursday ,,,
3-Nov-23,Friday,,,
4-Nov-23,Saturday ,,,
5-Nov-23,Sunday,,,
6-Nov-23,Monday,,,
7-Nov-23,Tuesday,,,
8-Nov-23,Wednesday,,,
9-Nov-23,Thursday ,,,
10-Nov-23,Friday,,,
11-Nov-23,Saturday ,,,
12-Nov-23,Sunday,,,
13-Nov-23,Monday,,,
14-Nov-23,Tuesday,,,
15-Nov-23,Wednesday,,,
16-Nov-23,Thursday ,,,
17-Nov-23,Friday,,,
18-Nov-23,Saturday ,,,
19-Nov-23,Sunday,,,
20-Nov-23,Monday,,,
21-Nov-23,Tuesday,,,
22-Nov-23,Wednesday,,,
23-Nov-23,Thursday ,,,
24-Nov-23,Friday,,,
25-Nov-23,Saturday ,,,
26-Nov-23,Sunday,,,
27-Nov-23,Monday,,,
28-Nov-23,Tuesday,,,
29-Nov-23,Wednesday,,,
30-Nov-23,Thursday ,,,
1-Dec-23,Friday,,,
2-Dec-23,Saturday ,,,
3-Dec-23,Sunday,,,
4-Dec-23,Monday,,,
5-Dec-23,Tuesday,,,
6-Dec-23,Wednesday,,,
7-Dec-23,Thursday ,,,
8-Dec-23,Friday,,,
9-Dec-23,Saturday ,,,
10-Dec-23,Sunday,,,
11-Dec-23,Monday,,,
12-Dec-23,Tuesday,,,
13-Dec-23,Wednesday,,,
14-Dec-23,Thursday ,,,
15-Dec-23,Friday,,,
16-Dec-23,Saturday ,,,
17-Dec-23,Sunday,,,
18-Dec-23,Monday,,,
19-Dec-23,Tuesday,,,
20-Dec-23,Wednesday,,,
21-Dec-23,Thursday ,,,
22-Dec-23,Friday,,,
23-Dec-23,Saturday ,,,
24-Dec-23,Sunday,,,
25-Dec-23,Monday,,,
26-Dec-23,Tuesday,,,
27-Dec-23,Wednesday,,,
28-Dec-23,Thursday ,,,
29-Dec-23,Friday,,,
30-Dec-23,Saturday ,,,
31-Dec-23,Sunday,,,
